q	H		Be		C		Au		Pb
0.00	8.49e-1		3.16e00		2.89e00		1.00e+1		1.13e+1
0.05	8.42e-1		3.11e00		2.88e00		9.99e00		1.13e+1
0.10	8.24e-1		2.98e00		2.85e00		9.90e00		1.12e+1
0.15	7.94e-1		2.77e00		2.80e00		9.77e00		1.10e+1
0.20	7.55e-1		2.52e00		2.73e00		9.61e00		1.08e+1
0.30	6.55e-1		1.95e00		2.54e00		9.25e00		1.03e+1
0.40	5.44e-1		1.43e00		2.29e00		8.92e00		9.70e00
0.50	4.35e-1		1.03e00		2.02e00		8.66e00		9.07e00
0.60	3.37e-1		7.66e-1		1.74e00 	8.45e00		8.52e00
0.70	2.57e-1		6.00e-1		1.48e00 	8.25e00		8.07e00
0.80	1.92e-1		5.03e-1		1.24e00		8.05e00		7.72e00
1.00	1.06e-1		4.09e-1		8.81e-1		7.57e00		7.21e00
1.20	5.84e-2		3.63e-1		6.41e-1		7.00e00		6.80e00
1.40	3.27e-2		3.27e-1		4.90e-1		6.40e00		6.38e00
1.60	1.88e-2		2.92e-1		3.94e-1		5.80e00		5.93e00
1.80	1.11e-2		2.57e-1		3.31e-1		5.27e00		5.47e00
2.00	6.79e-3		2.24e-1		2.86e-1		4.80e00		5.03e00
2.40	2.75e-3		1.66e-1		2.26e-1		4.08e00		4.27e00
3.00	8.49e-4		1.02e-1		1.65e-1		3.44e00		3.50e00
4.00	1.74e-4		4.52e-2		9.76e-2		2.85e00		2.84e00
5.00	4.83e-5		2.06e-2		5.69e-2		2.36e00		2.40e00
6.00	1.68e-5		9.94e-3		3.32e-2		1.91e00		1.98e00
7.00	6.79e-6		5.07e-3		1.96e-2		1.53e00		1.61e00
8.00	3.09e-6		2.73e-3		1.19e-2		1.23e00		1.31e00
10.0	8.20e-7		9.10e-4		4.60e-3		8.60e-1		9.10e-1
15.0	7.40e-8		1.00e-4		6.60e-4		4.20e-1		4.50e-1
20.0	1.30e-8		2.10e-5		1.40e-4		2.40e-1		2.50e-1
30.0	1.20e-9		1.90e-6		1.50e-5		9.10e-2		9.80e-2
40.0	2.30e-10	3.60e-7		2.80e-6		4.20e-2		4.60e-2	
60.0	4.30e-11	3.20e-8		2.50e-7		1.30e-2		1.50e-2	
100.	2.60e-11	1.50e-9		1.20e-8		2.80e-3		3.20e-3
